i,x1,x2,u,f,k1,k2
1,0.0,0.0,1.0,0.0,1.0,-0.5437
2,2.5725,2.5725,23.6335,940.7058,4.0077,4.6558
3,2.9923,2.3442,1.0,945.6662,1.0,-0.5091
4,3.029,2.3869,6.242,957.0133,3.8556,4.6719
5,3.1444,2.3281,1.0,957.3736,1.0,-0.5002
6,3.147,2.3312,1.6534,958.197,3.8221,4.6842
7,3.1779,2.3158,1.0,958.2225,1.0,-0.4978
8,3.1781,2.316,0.4384,958.2811,3.8137,4.6881
9,3.1863,2.3119,1.0,958.2829,1.0,-0.4972
10,3.1863,2.3119,0.1163,958.287,3.8115,4.6891
11,3.1885,2.3109,1.0,958.2871,1.0,-0.497
12,3.1885,2.3109,0.0309,958.2874,3.8109,4.6894
13,3.1891,2.3106,1.0,958.2874,1.0,-0.4969
14,3.1891,2.3106,0.0082,958.2874,1.0,4.6899
